player_id,full_name,seasons_played,NBA All-Star,NBA All-Star Game MVP,MVP,All-NBA-First,All-NBA-Second,All-NBA-Third,DPOY,All-Defensive-First,All-Defensive-Second,ROY,All-Rookie-First,All-Rookie-Second,Championships,FMVP,Olympic Gold,Olympic Silver,Olympic Bronze,Height,Weight,Position,Teams,DraftRound,DraftNumber,Active,season_PPG,season_APG,season_RBG,season_SPG,season_BPG,season_TPG,season_PM,season_MPG,season_FG_PCT,season_FG3_PCT,season_FT_PCT,season_FGM,season_FGA,season_FG3M,season_FG3A,season_FTM,season_FTA,season_GP,playoff_PPG,playoff_APG,playoff_RBG,playoff_SPG,playoff_BPG,playoff_TPG,playoff_PM,playoff_MPG,playoff_FG_PCT,playoff_FG3_PCT,playoff_FT_PCT,playoff_FGM,playoff_FGA,playoff_FG3M,playoff_FG3A,playoff_FTM,playoff_FTA,playoff_GP
78081,Dave Schellhase,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,205,Guard,['CHI'],1,10,False,2.85,0.8,1.0,0.0,0.0,0.0,0.0,7.0,0.35050000000000003,0.0,0.581,87.0,249.0,0.0,0.0,34.0,60.0,73.0,1.25,0.0,0.25,0.0,0.0,0.0,0.0,3.25,0.1665,0.0,0.5,1.0,5.0,0.0,0.0,1.0,2.0,3.0
77058,Ron Horn,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,220,Forward,"['STL', 'LAL']",2,16,False,1.8,0.35,2.25,0.0,0.0,0.0,0.0,9.3,0.20600000000000002,0.0,0.595,28.0,94.0,0.0,0.0,21.0,31.0,31.0,1.7,0.3,1.6,0.0,0.0,0.0,0.0,7.9,0.333,0.0,0.8,4.0,12.0,0.0,0.0,4.0,5.0,7.0
76373,Al Cervi,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,170,Guard,['SYR'],Undrafted,Undrafted,False,7.55,3.0,1.7,0.0,0.0,0.0,0.0,11.7,0.37625000000000003,0.0,0.8352499999999999,405.0,1128.0,0.0,0.0,781.0,931.0,202.0,8.2,3.1750000000000003,2.033333333333333,0.0,0.0,0.0,0.0,13.3,0.36875,0.0,0.86575,50.0,159.0,0.0,0.0,116.0,134.0,27.0
1629076,Tyler Cook,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,255,Forward,"['CLE', 'DEN', 'TOT', 'BKN', 'DET', 'CHI']",Undrafted,Undrafted,False,3.3666666666666667,0.2333333333333333,2.233333333333333,0.20000000000000004,0.10000000000000002,0.39999999999999997,-1.2666666666666668,9.299999999999999,0.6473333333333334,0.16666666666666666,0.6723333333333333,100.0,153.0,1.0,2.0,45.0,75.0,65.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
265,Harvey Grant,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,225,Forward,"['WAS', 'POR', 'PHI']",1,12,False,9.745454545454544,1.5272727272727273,4.327272727272727,0.7545454545454546,0.5181818181818181,0.881818181818182,0.3333333333333333,25.88181818181818,0.4496363636363636,0.17400000000000002,0.6894545454545455,3345.0,7138.0,65.0,243.0,1026.0,1448.0,783.0,5.74,0.72,2.7600000000000002,0.24,0.5,0.42000000000000004,-3.45,21.4,0.47140000000000004,0.1398,0.125,45.0,103.0,6.0,17.0,10.0,20.0,19.0
77939,Richard Rellford,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,230,Forward,['SAN'],5,95,False,4.0,0.2,1.8,0.0,0.8,1.0,0.0,10.5,0.625,0.0,0.75,5.0,8.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2545,Darko Milicic,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,84,275,Center,"['DET', 'ORL', 'TOT', 'MEM', 'NYK', 'MIN', 'BOS']",1,2,False,4.880000000000001,0.72,3.53,0.38999999999999996,1.0500000000000003,1.19,-1.9100000000000001,15.73,0.392,0.0,0.5105000000000001,1196.0,2602.0,0.0,6.0,421.0,734.0,468.0,4.3,0.39999999999999997,1.7666666666666666,0.10000000000000002,0.3666666666666667,0.3333333333333333,-0.3666666666666667,10.966666666666667,0.2913333333333333,0.0,0.593,22.0,45.0,0.0,0.0,11.0,22.0,21.0
78497,Jerry West,14,14,1,0,10,2,0,0,4,1,0,0,0,1,1,1,0,0,75,175,Guard,['LAL'],1,2,False,26.742857142857144,6.692857142857142,5.6571428571428575,2.6,0.7,0.0,0.0,38.88571428571429,0.473,0.0,0.8102857142857144,9016.0,19032.0,0.0,0.0,7160.0,8801.0,932.0,25.50769230769231,5.207692307692308,5.253846153846154,0.0,0.0,0.0,0.0,36.41538461538462,0.4516666666666667,0.0,0.8021818181818182,1622.0,3460.0,0.0,0.0,1213.0,1506.0,153.0
1630611,Gui Santos,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,185,Forward,['GSW'],2,55,True,3.8499999999999996,1.0,2.6,0.30000000000000004,0.15000000000000002,0.55,1.7999999999999998,10.95,0.48350000000000004,0.35,0.8154999999999999,110.0,234.0,44.0,130.0,45.0,59.0,79.0,2.6,0.8,1.2,0.3,0.1,0.6,1.2,7.2,0.529,0.4,0.667,9.0,17.0,4.0,10.0,4.0,6.0,10.0
77477,Phil Martin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,190,Guard,['MIH'],4,29,False,1.7,0.9,1.4,0.0,0.0,0.0,0.0,6.7,0.263,0.0,1.0,5.0,19.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
939,Pete Myers,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,180,Guard,"['CHI', 'SAN', 'PHL', 'NYK', 'TOT', 'NJN', 'MIA', 'CHH']",6,120,False,4.055555555555555,1.7999999999999998,1.6222222222222222,0.6333333333333333,0.1888888888888889,1.1333333333333335,-0.1,13.133333333333333,0.4235555555555556,0.08588888888888889,0.6802222222222222,660.0,1568.0,32.0,146.0,452.0,677.0,377.0,2.35,0.975,0.9500000000000001,0.30000000000000004,0.17500000000000002,0.525,0.0,9.2,0.21875,0.125,0.39275,34.0,71.0,1.0,6.0,18.0,33.0,24.0
1630182,Josh Green,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,200,Guard,"['DAL', 'CHA']",1,18,True,6.42,1.5,2.62,0.74,0.16,0.8800000000000001,-0.9,21.34,0.4808,0.33940000000000003,0.6684,736.0,1526.0,269.0,707.0,200.0,291.0,291.0,2.1333333333333333,0.4666666666666666,1.0999999999999999,0.3666666666666667,0.03333333333333333,0.09999999999999999,-0.6999999999999998,9.9,0.23666666666666666,0.20566666666666666,0.329,44.0,113.0,28.0,81.0,16.0,27.0,39.0
204060,Joe Ingles,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,220,Forward-Guard,"['UTA', 'MIL', 'ORL', 'MIN']",Undrafted,Undrafted,True,7.372727272727274,3.4181818181818184,2.854545454545455,0.7818181818181817,0.11818181818181821,1.3636363636363635,2.581818181818182,22.88181818181818,0.42527272727272736,0.3868181818181818,0.7085454545454545,2018.0,4514.0,1227.0,3001.0,459.0,593.0,723.0,7.871428571428572,3.371428571428571,3.2142857142857144,0.9857142857142857,0.14285714285714285,1.157142857142857,0.1285714285714287,26.271428571428572,0.4220000000000001,0.3781428571428571,0.5118571428571429,171.0,388.0,108.0,272.0,34.0,47.0,57.0
2784,Luis Flores,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,195,Guard,"['GSW', 'DEN', 'TOT']",2,55,False,2.2,0.7,0.2,0.1,0.0,0.7,1.4,4.8,0.483,0.5,1.0,14.0,29.0,5.0,10.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202087,Alonzo Gee,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,225,Forward,"['WAS', 'SAS', 'CLE', 'TOT', 'DEN', 'POR', 'NOP']",Undrafted,Undrafted,False,6.0,0.925,2.9749999999999996,0.8,0.21250000000000002,0.9625000000000001,-2.8,19.1875,0.42125,0.341125,0.702,1001.0,2309.0,186.0,572.0,566.0,751.0,417.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76195,Manute Bol,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90,200,Center,"['WAS', 'GOS', 'PHL', 'MIA', 'TOT']",2,31,False,2.41,0.22999999999999998,3.79,0.16,2.98,0.66,0.0,17.5,0.40599999999999997,0.1392,0.44860000000000005,665.0,1635.0,43.0,205.0,226.0,403.0,624.0,2.8600000000000003,0.08,3.8599999999999994,0.18,2.6,0.4,0.0,17.119999999999997,0.4506,0.0182,0.46560000000000007,34.0,88.0,2.0,23.0,12.0,27.0,29.0
2558,Reece Gaines,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,205,Guard,"['ORL', 'HOU', 'MIL', 'TOT']",1,15,False,1.6333333333333335,0.5333333333333333,0.5666666666666667,0.19999999999999998,0.03333333333333333,0.3,-1.9000000000000001,7.633333333333333,0.377,0.19533333333333333,0.5466666666666667,48.0,148.0,7.0,26.0,20.0,33.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77855,Gary Phillips,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75,189,Guard,"['BOS', 'SFW']",1,9,False,6.640000000000001,1.92,2.5999999999999996,0.0,0.0,0.0,0.0,19.82,0.36619999999999997,0.0,0.6226,926.0,2500.0,0.0,0.0,467.0,742.0,348.0,5.199999999999999,1.0,1.35,0.0,0.0,0.0,0.0,14.3,0.212,0.0,0.6885,36.0,113.0,0.0,0.0,34.0,51.0,17.0
78304,Terry Teagle,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,195,Guard,"['HOU', 'DET', 'GOS', 'TOT', 'LAL']",1,16,False,10.554545454545455,1.3181818181818181,2.4454545454545453,0.6727272727272727,0.17272727272727276,1.3454545454545455,0.0,19.90909090909091,0.4529999999999999,0.1823636363636364,0.7591818181818181,3295.0,7090.0,30.0,143.0,1362.0,1719.0,687.0,11.82,1.02,2.28,0.68,0.24,1.3,0.0,20.48,0.4446,0.0,0.6376,203.0,450.0,0.0,4.0,89.0,114.0,45.0
78110,Brad Sellers,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,210,Forward,"['CHI', 'SEA', 'MIN', 'TOT', 'DET']",1,9,False,5.716666666666666,1.0,2.4166666666666665,0.3,0.55,0.7833333333333333,0.0,16.26666666666667,0.441,0.14049999999999999,0.8136666666666666,1026.0,2268.0,6.0,30.0,451.0,569.0,398.0,4.175,1.0,1.7000000000000002,0.1,0.525,0.325,0.0,14.3,0.386,0.0,0.92875,45.0,124.0,0.0,0.0,30.0,34.0,28.0
1627763,Malcolm Brogdon,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,76,229,Guard,"['MIL', 'IND', 'BOS', 'POR', 'WAS']",2,36,True,15.433333333333334,4.755555555555556,4.166666666666667,0.7666666666666667,0.2555555555555556,1.722222222222222,0.3555555555555557,29.11111111111111,0.4603333333333333,0.3758888888888889,0.8728888888888888,2601.0,5621.0,752.0,1940.0,1123.0,1285.0,463.0,12.820000000000002,4.4399999999999995,4.0600000000000005,0.5,0.13999999999999999,1.72,-0.5600000000000002,30.060000000000002,0.42060000000000003,0.3742,0.6315999999999999,189.0,449.0,71.0,188.0,69.0,84.0,43.0
76769,Elmer R. Gainer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"['BAL', 'WAT']",0,0,False,1.3,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.625,10.0,44.0,0.0,0.0,9.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76668,Wayne Embry,11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,240,Center,"['CIN', 'BOS', 'MIL']",3,22,False,12.454545454545455,1.4272727272727272,9.063636363636363,0.0,0.0,0.0,0.0,26.05454545454545,0.43290909090909085,0.0,0.6285454545454545,3993.0,9067.0,0.0,0.0,2394.0,3741.0,831.0,10.528571428571428,1.2571428571428573,7.928571428571429,0.0,0.0,0.0,0.0,25.342857142857145,0.41914285714285715,0.0,0.6301428571428572,215.0,514.0,0.0,0.0,136.0,211.0,56.0
2424,Dan Dickau,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,180,Guard,"['ATL', 'POR', 'TOT', 'DAL', 'NOH', 'BOS', 'LAC']",1,28,False,5.05,2.2666666666666666,1.1833333333333333,0.5333333333333333,0.03333333333333333,0.9833333333333334,-1.1833333333333333,13.866666666666667,0.39033333333333337,0.35600000000000004,0.8413333333333334,608.0,1517.0,179.0,525.0,350.0,421.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203527,Ryan Kelly,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,230,Forward,"['LAL', 'ATL']",2,48,False,5.050000000000001,1.125,2.75,0.425,0.47500000000000003,0.55,-1.075,16.475,0.35375,0.30225,0.79125,324.0,857.0,102.0,323.0,231.0,290.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203943,Noah Vonleh,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,257,Forward,"['CHA', 'POR', 'CHI', 'TOT', 'NYK', 'MIN', 'DEN', 'BKN', 'BOS']",1,9,False,3.6750000000000007,0.6000000000000001,3.975,0.30000000000000004,0.3375,0.675,-1.95,13.112499999999999,0.40425,0.257875,0.648625,651.0,1417.0,93.0,303.0,290.0,419.0,362.0,1.5,0.7666666666666666,2.6333333333333333,0.16666666666666666,0.26666666666666666,0.5,-5.233333333333333,10.0,0.148,0.0,0.13333333333333333,8.0,22.0,0.0,0.0,2.0,5.0,11.0
78486,Rick Weitzman,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74,175,Guard,['BOS'],10,110,False,1.3,0.3,0.4,0.0,0.0,0.0,0.0,3.0,0.261,0.0,0.692,12.0,46.0,0.0,0.0,9.0,13.0,25.0,1.3,0.3,0.3,0.0,0.0,0.0,0.0,1.7,0.667,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0
76361,Ron Carter,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,190,Guard,"['LAL', 'IND']",2,26,False,2.8,0.6,1.25,0.30000000000000004,0.2,0.8500000000000001,0.0,8.1,0.42000000000000004,0.0,0.47650000000000003,69.0,161.0,0.0,0.0,38.0,61.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
203486,Mason Plumlee,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82,254,Forward-Center,"['BKN', 'POR', 'DEN', 'TOT', 'DET', 'CHA', 'LAC', 'PHX']",1,22,True,7.933333333333333,2.358333333333334,6.658333333333332,0.6749999999999999,0.7916666666666666,1.3833333333333335,-0.7333333333333335,21.575,0.6013333333333333,0.016666666666666666,0.5790833333333334,2720.0,4569.0,2.0,51.0,1476.0,2559.0,860.0,4.228571428571429,1.5142857142857142,4.728571428571429,0.4571428571428572,0.5428571428571428,0.8285714285714284,-1.742857142857143,14.72857142857143,0.5381428571428571,0.0,0.6051428571428571,103.0,212.0,0.0,2.0,75.0,124.0,71.0
78151,Paul Silas,16,2,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,79,220,Forward,"['STL', 'ATL', 'PHX', 'BOS', 'DEN', 'SEA']",2,10,False,9.25,2.0062499999999996,9.725,0.6285714285714287,0.24285714285714285,1.3666666666666665,0.0,27.48125,0.4223125,0.0,0.6499999999999999,4293.0,9949.0,0.0,0.0,3196.0,4748.0,1254.0,7.028571428571428,2.0642857142857145,9.064285714285715,0.7142857142857143,0.34285714285714286,1.3333333333333333,0.0,26.657142857142862,0.3787857142857143,0.0,0.6868571428571428,396.0,998.0,0.0,0.0,332.0,480.0,163.0
